Body1,Body2,Body1_Mass,Body2_Mass,Distance,Body1_KineticEnergy,Body2_KineticEnergy,PotentialEnergy,TotalOrbitalEnergy,SimTime
Earth,Moon,5.972000e+24,7.348000e+22,3.844000e+08,6.081951e+18,9.185000e+27,-7.619234e+28,-6.700734e+28,9.554000e+03
Earth,Moon,5.972000e+24,7.348000e+22,3.844000e+08,6.368122e+18,9.185000e+27,-7.619234e+28,-6.700734e+28,9.555000e+03
Earth,Moon,5.972000e+24,7.348000e+22,3.844000e+08,6.660872e+18,9.185000e+27,-7.619234e+28,-6.700734e+28,9.556000e+03
Earth,Moon,5.972000e+24,7.348000e+22,3.844000e+08,6.960200e+18,9.185000e+27,-7.619234e+28,-6.700734e+28,9.557000e+03
Earth,Moon,5.972000e+24,7.348000e+22,3.844000e+08,7.266106e+18,9.185000e+27,-7.619234e+28,-6.700734e+28,9.558000e+03
Earth,Moon,5.972000e+24,7.348000e+22,3.844000e+08,7.578592e+18,9.185000e+27,-7.619234e+28,-6.700734e+28,9.559000e+03
Earth,Moon,5.972000e+24,7.348000e+22,3.844000e+08,7.897656e+18,9.185000e+27,-7.619234e+28,-6.700734e+28,9.560000e+03
Earth,Moon,5.972000e+24,7.348000e+22,3.844000e+08,8.223298e+18,9.185001e+27,-7.619234e+28,-6.700734e+28,9.561000e+03
Earth,Moon,5.972000e+24,7.348000e+22,3.844000e+08,8.555520e+18,9.185001e+27,-7.619234e+28,-6.700734e+28,9.562000e+03
Earth,Moon,5.972000e+24,7.348000e+22,3.844000e+08,8.894319e+18,9.185001e+27,-7.619234e+28,-6.700734e+28,9.563000e+03
Earth,Moon,5.972000e+24,7.348000e+22,3.844000e+08,9.239698e+18,9.185001e+27,-7.619234e+28,-6.700734e+28,9.564000e+03
Earth,Moon,5.972000e+24,7.348000e+22,3.844000e+08,9.591655e+18,9.185001e+27,-7.619234e+28,-6.700734e+28,9.565000e+03
Earth,Moon,5.972000e+24,7.348000e+22,3.844000e+08,9.950191e+18,9.185001e+27,-7.619234e+28,-6.700734e+28,9.566000e+03
Earth,Moon,5.972000e+24,7.348000e+22,3.844000e+08,1.031531e+19,9.185001e+27,-7.619234e+28,-6.700734e+28,9.567000e+03
Earth,Moon,5.972000e+24,7.348000e+22,3.844000e+08,1.068700e+19,9.185001e+27,-7.619234e+28,-6.700734e+28,9.568000e+03
Earth,Moon,5.972000e+24,7.348000e+22,3.844000e+08,1.106527e+19,9.185001e+27,-7.619234e+28,-6.700734e+28,9.569000e+03
Earth,Moon,5.972000e+24,7.348000e+22,3.844000e+08,1.145012e+19,9.185001e+27,-7.619234e+28,-6.700734e+28,9.570000e+03
Earth,Moon,5.972000e+24,7.348000e+22,3.844000e+08,1.184155e+19,9.185001e+27,-7.619234e+28,-6.700734e+28,9.571000e+03
Earth,Moon,5.972000e+24,7.348000e+22,3.844000e+08,1.223956e+19,9.185001e+27,-7.619234e+28,-6.700734e+28,9.572000e+03
Earth,Moon,5.972000e+24,7.348000e+22,3.844000e+08,1.264414e+19,9.185001e+27,-7.619234e+28,-6.700734e+28,9.573000e+03
Earth,Moon,5.972000e+24,7.348000e+22,3.844000e+08,1.305531e+19,9.185001e+27,-7.619234e+28,-6.700734e+28,9.574000e+03
Earth,Moon,5.972000e+24,7.348000e+22,3.844000e+08,1.347305e+19,9.185001e+27,-7.619234e+28,-6.700734e+28,9.575000e+03
Earth,Moon,5.972000e+24,7.348000e+22,3.844000e+08,1.389737e+19,9.185001e+27,-7.619234e+28,-6.700734e+28,9.576000e+03
Earth,Moon,5.972000e+24,7.348000e+22,3.844000e+08,1.432827e+19,9.185001e+27,-7.619234e+28,-6.700734e+28,9.577000e+03
Earth,Moon,5.972000e+24,7.348000e+22,3.844000e+08,1.476575e+19,9.185001e+27,-7.619234e+28,-6.700734e+28,9.578000e+03
Earth,Moon,5.972000e+24,7.348000e+22,3.844000e+08,1.520981e+19,9.185001e+27,-7.619234e+28,-6.700734e+28,9.579000e+03
Earth,Moon,5.972000e+24,7.348000e+22,3.844000e+08,1.566045e+19,9.185001e+27,-7.619234e+28,-6.700734e+28,9.580000e+03
