timestamp,body_name,planet_x,planet_y,planet_z,planet_vx,planet_vy,planet_vz,craft_name,craft_x,craft_y,craft_z,craft_vx,craft_vy,craft_vz,,system_energy
105167.609984,Earth,182595.130309,17082.654355,0.000000,3.450031,0.486088,0.000000,Apollo Test Craft,227220217.020781,113441953.833512,0.000000,1380.319388,1011.605518,0.000000,,-37886834037110169075649085440.000000,
105167.609984,Moon,369143690.133388,106091418.040313,0.000000,-280.701537,982.450897,0.000000,,,,,,,,,-37886834037110169075649085440.000000,
118173.229977,Earth,230158.244525,24212.619974,0.000000,3.863487,0.612745,0.000000,Apollo Test Craft,244752722.623739,126373764.621636,0.000000,1317.888298,977.784169,0.000000,,-37886834037105687466254270464.000000,
118173.229977,Moon,365273858.764779,118803053.227274,0.000000,-314.341097,972.145819,0.000000,,,,,,,,,-37886834037105687466254270464.000000,
131299.269970,Earth,283584.059584,33173.575576,0.000000,4.276126,0.755033,0.000000,Apollo Test Craft,261701578.442576,139006376.774931,0.000000,1266.373198,947.611164,0.000000,,-37886834037086212916303101952.000000,
131299.269970,Moon,360927026.173730,131488784.598415,0.000000,-347.914258,960.568959,0.000000,,,,,,,,,-37886834037086212916303101952.000000,
144261.049982,Earth,341623.930353,43947.062508,0.000000,4.678535,0.909633,0.000000,Apollo Test Craft,277842030.085056,151112442.275838,0.000000,1225.821598,920.763511,0.000000,,-37886834037086256896768212992.000000,
144261.049982,Moon,356204784.658840,143859171.026989,0.000000,-380.655105,947.990403,0.000000,,,,,,,,,-37886834037086256896768212992.000000,
157627.159995,Earth,406899.162184,57251.247120,0.000000,5.087719,1.083534,0.000000,Apollo Test Craft,294012729.062391,163246145.689895,0.000000,1196.284984,895.032427,0.000000,,-37886834037083719223931305984.000000,
157627.159995,Moon,350893859.503971,156436880.023460,0.000000,-413.947129,933.841449,0.000000,,,,,,,,,-37886834037083719223931305984.000000,
170758.210007,Earth,476311.759780,72678.339458,0.000000,5.483499,1.268491,0.000000,Apollo Test Craft,309636247.742423,174832253.632520,0.000000,1188.719987,869.047609,0.000000,,-37886834037085289326535770112.000000,
170758.210007,Moon,345246309.885359,168601633.624838,0.000000,-446.148597,918.792976,0.000000,,,,,,,,,-37886834037085289326535770112.000000,
