timestamp,body_name,planet_x,planet_y,planet_z,planet_vx,planet_vy,planet_vz,craft_name,craft_x,craft_y,craft_z,craft_vx,craft_vy,craft_vz,,system_energy
795965.490589,Moon,-196076186.406579,327481017.235417,0.000000,-858.770741,-536.697972,0.000000,,,,,,,,,-37886834037024728226077868032.000000,
809692.470602,Earth,7272717.755338,6238901.967522,0.000000,10.299188,19.545984,0.000000,,,,,,,,,-37886834037027393442263597056.000000,
809692.470602,Moon,-207723056.160133,319895995.906987,0.000000,-837.962846,-568.300898,0.000000,,,,,,,,,-37886834037027393442263597056.000000,
823604.240615,Earth,7414109.610154,6513502.720914,0.000000,10.025318,19.929788,0.000000,,,,,,,,,-37886834037024578692496490496.000000,
823604.240615,Moon,-219226984.026216,311771751.018882,0.000000,-815.680203,-599.527949,0.000000,,,,,,,,,-37886834037024578692496490496.000000,
837478.820628,Earth,7551228.652665,6792615.591392,0.000000,9.737831,20.302133,0.000000,,,,,,,,,-37886834037022252125892116480.000000,
837478.820628,Moon,-230383267.223499,303242382.959977,0.000000,-792.289690,-629.822715,0.000000,,,,,,,,,-37886834037022252125892116480.000000,
851239.940641,Earth,7683191.006291,7074474.843187,0.000000,9.438931,20.660606,0.000000,,,,,,,,,-37886834037020189442078408704.000000,
851239.940641,Moon,-241119991.762060,294373607.630990,0.000000,-767.970563,-658.988765,0.000000,,,,,,,,,-37886834037020189442078408704.000000,
864763.930653,Earth,7808783.295347,7356209.024416,0.000000,9.132221,21.001893,0.000000,,,,,,,,,-37886834037023092152775737344.000000,
864763.930653,Moon,-251338434.937067,285272661.436629,0.000000,-743.015993,-686.756570,0.000000,,,,,,,,,-37886834037023092152775737344.000000,
878563.980666,Earth,7932575.064776,7648372.032810,0.000000,8.806428,21.338400,0.000000,,,,,,,,,-37886834037023795840217513984.000000,
878563.980666,Moon,-261410384.186062,275605338.048211,0.000000,-716.508849,-714.135508,0.000000,,,,,,,,,-37886834037023795840217513984.000000,
892432.520679,Earth,8052363.995912,7946577.915623,0.000000,8.466422,21.664134,0.000000,,,,,,,,,-37886834037023637510543114240.000000,
892432.520679,Moon,-271156654.398950,265516350.929999,0.000000,-688.845250,-740.637858,0.000000,,,,,,,,,-37886834037023637510543114240.000000,
906223.400692,Earth,8166722.472724,8247505.307448,0.000000,8.116268,21.975199,0.000000,,,,,,,,,-37886834037026003659566088192.000000,
906223.400692,Moon,-280461091.842210,255126567.802893,0.000000,-660.355993,-765.946767,0.000000,,,,,,,,,-37886834037026003659566088192.000000,
920110.770705,Earth,8276920.051236,8554780.841925,0.000000,7.752013,22.275038,0.000000,,,,,,,,,-37886834037025260389705711616.000000,
920110.770705,Moon,-289426990.166884,244318899.703766,0.000000,-630.719465,-790.342219,0.000000,,,,,,,,,-37886834037025260389705711616.000000,
935063.360719,Earth,8389822.974071,8890168.159316,0.000000,7.347336,22.582330,0.000000,,,,,,,,,-37886834037032240089518833664.000000,
935063.360719,Moon,-298613000.788557,232312654.812816,0.000000,-597.794152,-815.344113,0.000000,,,,,,,,,-37886834037032240089518833664.000000,
949843.890733,Earth,8495389.327155,9226091.311950,0.000000,6.935232,22.869738,0.000000,,,,,,,,,-37886834037034782160402251776.000000,
949843.890733,Moon,-307202093.226329,220086967.960504,0.000000,-564.264528,-838.728256,0.000000,,,,,,,,,-37886834037034782160402251776.000000,
963702.680745,Earth,8588765.382399,9544817.495122,0.000000,6.538506,23.124027,0.000000,,,,,,,,,-37886834037037728851564691456.000000,
963702.680745,Moon,-314799358.325902,208318443.116706,0.000000,-531.986136,-859.417673,0.000000,,,,,,,,,-37886834037037728851564691456.000000,
977607.980758,Earth,8676862.600742,9868050.281346,0.000000,6.130990,23.363998,0.000000,,,,,,,,,-37886834037031378072402657280.000000,
977607.980758,Moon,-321967126.556565,196230785.134981,0.000000,-498.829755,-878.942242,0.000000,,,,,,,,,-37886834037031378072402657280.000000,
991236.370771,Earth,8757647.085432,10187980.932945,0.000000,5.722956,23.584100,0.000000,,,,,,,,,-37886834037034403928402296832.000000,
991236.370771,Moon,-328539915.956496,184128793.498813,0.000000,-465.631339,-896.850213,0.000000,,,,,,,,,-37886834037034403928402296832.000000,
1005400.260784,Earth,8835653.173676,10523548.656248,0.000000,5.290444,23.796679,0.000000,,,,,,,,,-37886834037040314902913220608.000000,
1005400.260784,Moon,-334886649.390609,171301819.017176,0.000000,-430.441233,-914.145993,0.000000,,,,,,,,,-37886834037040314902913220608.000000,
1018878.430797,Earth,8904142.892059,10845559.647283,0.000000,4.871459,23.983360,0.000000,,,,,,,,,-37886834037051538717609558016.000000,
1018878.430797,Moon,-340459111.686153,158877041.908242,0.000000,-396.351790,-929.334779,0.000000,,,,,,,,,-37886834037051538717609558016.000000,
1032681.270810,Earth,8968381.753669,11177825.584547,0.000000,4.435494,24.158486,0.000000,,,,,,,,,-37886834037048930676028473344.000000,
