timestamp,body_name,planet_x,planet_y,planet_z,planet_vx,planet_vy,planet_vz,craft_name,craft_x,craft_y,craft_z,craft_vx,craft_vy,craft_vz,,system_energy
362895.040186,Moon,219259886.021797,316059379.769888,0.000000,-836.656116,582.361567,0.000000,,,,,,,,,-37886834037065929125793890304.000000,
375855.090198,Earth,2159613.780660,746129.495246,0.000000,10.522574,5.764357,0.000000,,,,,,,,,-37886834037063338676398850048.000000,
375855.090198,Moon,208289445.925567,323417294.069456,0.000000,-856.137934,553.000258,0.000000,,,,,,,,,-37886834037063338676398850048.000000,
388815.230210,Earth,2297471.681896,823219.496324,0.000000,10.749443,6.133455,0.000000,,,,,,,,,-37886834037059336454073745408.000000,
388815.230210,Moon,197073047.685009,330390358.423859,0.000000,-874.596483,522.969694,0.000000,,,,,,,,,-37886834037059336454073745408.000000,
401775.260222,Earth,2438185.576665,905143.299294,0.000000,10.963447,6.510340,0.000000,,,,,,,,,-37886834037067090210072821760.000000,
401775.260222,Moon,185624280.022309,336970022.439556,0.000000,-892.008250,492.305542,0.000000,,,,,,,,,-37886834037067090210072821760.000000,
414735.300234,Earth,2581588.247833,991999.712121,0.000000,11.164316,6.894573,0.000000,,,,,,,,,-37886834037069539921979506688.000000,
414735.300234,Moon,173956748.062496,343148369.540430,0.000000,-908.351362,461.043550,0.000000,,,,,,,,,-37886834037069539921979506688.000000,
427695.590246,Earth,2727510.523047,1083882.798268,0.000000,11.351797,7.285709,0.000000,,,,,,,,,-37886834037063514598259294208.000000,
427695.590246,Moon,162084216.011078,348917991.812446,0.000000,-923.605249,429.219938,0.000000,,,,,,,,,-37886834037063514598259294208.000000,
440655.690258,Earth,2875772.337463,1180875.854428,0.000000,11.525644,7.683273,0.000000,,,,,,,,,-37886834037064051159933648896.000000,
440655.690258,Moon,150021334.308690,354271662.387843,0.000000,-937.749785,396.873346,0.000000,,,,,,,,,-37886834037064051159933648896.000000,
453615.760270,Earth,3026197.313750,1283060.287702,0.000000,11.685634,8.086799,0.000000,,,,,,,,,-37886834037065713621514846208.000000,
453615.760270,Moon,137782453.372309,359202921.339909,0.000000,-950.766840,364.041660,0.000000,,,,,,,,,-37886834037065713621514846208.000000,
466575.880282,Earth,3178605.419872,1390510.930375,0.000000,11.831557,8.495811,0.000000,,,,,,,,,-37886834037055875191469506560.000000,
466575.880282,Moon,125382220.973340,363705761.922347,0.000000,-962.639453,330.763619,0.000000,,,,,,,,,-37886834037055875191469506560.000000,
479536.010295,Earth,3332812.623824,1503295.423647,0.000000,11.963220,8.909821,0.000000,,,,,,,,,-37886834037057027479655415808.000000,
479536.010295,Moon,112835610.328714,367774639.829877,0.000000,-973.351864,297.078892,0.000000,,,,,,,,,-37886834037057027479655415808.000000,
492496.010307,Earth,3488631.265854,1621474.060447,0.000000,12.080446,9.328332,0.000000,,,,,,,,,-37886834037055461775097462784.000000,
492496.010307,Moon,100157889.816223,371404506.427669,0.000000,-982.889601,263.027998,0.000000,,,,,,,,,-37886834037055461775097462784.000000,
505456.020319,Earth,3645874.858790,1745103.188210,0.000000,12.183076,9.750848,0.000000,,,,,,,,,-37886834037054714107190575104.000000,
