orbit_samples,point_samples,delta_v
323,500,1541.864922
324,500,1559.250564
325,500,1566.917827
326,500,1586.343363
327,500,1586.841622
328,500,1569.068584
329,500,1591.230567
330,500,1577.001995
331,500,1545.283565
332,500,1548.033768
333,500,1591.935935
334,500,1568.687185
335,500,1569.161414
336,500,1715.538282
337,500,1564.675469
338,500,1579.919059
339,500,1540.482327
340,500,1576.479867
341,500,1580.136157
342,500,1548.198092
343,500,1559.160778
344,500,1697.531295
345,500,1569.024240
346,500,1566.730623
347,500,1568.732715
348,500,1730.581560
349,500,1559.966565
350,500,1564.744159
351,500,1591.764985
352,500,1569.112506
353,500,1566.673676
354,500,1594.449292
355,500,1594.711677
356,500,1576.507945
357,500,1545.484997
358,500,1558.805347
359,500,1548.131395
360,500,1566.619167
361,500,1541.949624
362,500,1559.080597
363,500,1564.808384
364,500,1540.485723
365,500,1576.862313
366,500,1571.348846
367,500,1624.203576
368,500,1541.925898
369,500,1569.068584
370,500,1568.695675
371,500,1540.464446
372,500,1576.533690
373,500,1564.668337
374,500,1558.153171
375,500,1541.903238
376,500,1548.070979
377,500,1592.295643
378,500,1593.707675
379,500,1545.423400
380,500,1591.848136
381,500,1559.008559
382,500,1541.881576
383,500,1568.736717
384,500,1558.055888
385,500,1559.266584
386,500,1548.215864
387,500,1577.160761
388,500,1576.557381
389,500,1540.488703
390,500,1545.395326
391,500,1580.727539
392,500,1566.816536
393,500,1559.965272
394,500,1591.112347
395,500,1594.468195
396,500,1540.468554
397,500,1728.083812
398,500,1579.940861
399,500,1564.789559
400,500,1558.943484
401,500,1545.368860
402,500,1634.827613
403,500,1548.155619
404,500,1559.189557
405,500,1571.118862
406,500,1566.714094
407,500,1558.279767
408,500,1580.727539
409,500,1564.662464
410,500,1559.966827
411,500,1592.283955
412,500,1545.343870
413,500,1566.665743
414,500,1540.491340
415,500,1580.857048
416,500,1572.899404
417,500,1558.186827
418,500,1715.695022
419,500,1558.884408
420,500,1548.100458
421,500,1540.472208
422,500,1564.719721
423,500,1545.320234
424,500,1634.109431
425,500,1580.727539
426,500,1572.883020
427,500,1541.932565
428,500,1593.809431
429,500,1585.674298
430,500,1548.230014
431,500,1615.303708
432,500,1568.775547
433,500,1572.957270
434,500,1541.912824
435,500,1564.773879
436,500,1572.867565
437,500,1548.049765
438,500,1558.830539
439,500,1540.493689
440,500,1594.926038
441,500,1541.893836
442,500,1559.055743
443,500,1572.939567
444,500,1568.999876
445,500,1545.276609
446,500,1540.475478
447,500,1548.175102
448,500,1541.875561
449,500,1545.478481
450,500,1558.298935
451,500,1569.068584
452,500,1566.790173
453,500,1572.922837
454,500,1559.965657
455,500,1541.857960
456,500,1591.848136
457,500,1576.912680
458,500,1564.710400
459,500,1566.745259
460,500,1545.453233
461,500,1558.997258
462,500,1576.415318
463,500,1572.907004
464,500,1540.495794
465,500,1559.210800
466,500,1566.701834
467,500,1605.018046
468,500,1568.775547
469,500,1586.138840
470,500,1558.133279
471,500,1540.478423
472,500,1668.334648
473,500,1566.659826
474,500,1591.725039
475,500,1569.101088
476,500,1576.959091
477,500,1579.909969
478,500,1540.462195
479,500,1577.151626
480,500,1558.055888
481,500,1548.077410
482,500,1545.406354
483,500,1572.877769
484,500,1559.148773
485,500,1569.005640
486,500,1541.937623
487,500,1709.029543
488,500,1591.135096
489,500,1540.497693
490,500,1572.943027
491,500,1548.191112
492,500,1569.068584
493,500,1541.920136
494,500,1564.702446
495,500,1577.001995
496,500,1540.481088
497,500,1576.570709
498,500,1548.033768
499,500,1558.893873
